"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"13050","51.79.80.166:8333","70016","/Satoshi:22.0.0/","1685131097","1033","791556","zen.lagserv.com","Québec","CA",46.8127,-71.2226,"America/Toronto","AS16276","OVH SAS"
"13051","z6ydvorxu56jhvmt6p3t4znk4fwjttxfvtvwvqdl6l52bzc5ubxm4oid.onion:8333","70016","/Satoshi:24.0.1/","1684927605","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13052","6oca4h5hztsrtylbxclrfgrkkqxx66ptkiyo5mzxboyqji2yriiaffad.onion:8333","70016","/Satoshi:23.0.0(RoninDojo 1.17.0)/","1684891485","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13053","ufemaldlbenvdcb3x2furqucjfgsfplqjtz54svvqonjrjkjl76q4had.onion:8333","70016","/Satoshi:24.0.1/","1685045088","1101","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13054","84.80.197.174:8333","70016","/Satoshi:24.0.1/","1684907787","1101","791556","84-80-197-174.fixed.kpn.net","Oudesluis","NL",52.8346,4.8097,"Europe/Amsterdam","AS1136","KPN B.V."
"13055","w7rgtyjx2ftdlpi5fuoououaydzibljlec446o7jnxhirjh25hajbyid.onion:8333","70016","/Satoshi:24.0.1/","1684396916","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13056","hoyeu5zg2ty6chtya4up7avefxjh3luo3q2nxj2qq22vwh3g7feylkad.onion:8333","70016","/Satoshi:0.21.1/","1684913701","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13057","tcjl5bb2re4zn75dq2bohbmfdajzj4mu4cg7xe6stxzqdmvjscahh3id.onion:8333","70016","/Satoshi:24.0.1/","1685122840","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13058","91.121.163.195:8333","70015","/Satoshi:0.14.1/","1684335149","13","791556","mypremium.store",NA,"FR",48.8582,2.3387,"Europe/Paris","AS16276","OVH SAS"
"13059","3kqvayyqt6kqsjdqfvrqh3keeqkybec2j3hgdl5ecn3ook3wo6u5cjyd.onion:8333","70016","/Satoshi:23.0.0/Knots:20220529/","1685092278","67109965","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13060","84.211.187.211:8333","70016","/Satoshi:24.1.0/","1684949896","1033","791556","cm-84.211.187.211.get.no","Krakeroy","NO",59.1736,10.9283,"Europe/Oslo","AS41164","Telia Norge AS"
"13061","tywt42s6oow6g2g64y7hrmjfmhlbinxndurj6d4hba7kj7t2ww76dtqd.onion:8333","70016","/Satoshi:24.0.1/","1685045107","1033","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13062","mdmrxljrrh5ef5ldoeht5tgsth3mfdlimkfapyh7ach3duppptrkdlyd.onion:8333","70016","/Satoshi:22.0.0(Samourai Dojo 1.13.0)/","1685145901","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
"13063","sliw7dc7ldxt25na35z4oxdcmslpwzhvx6qzuayzh2xk2djzaetuatyd.onion:8333","70016","/Satoshi:24.0.1/","1684555492","1037","791556",NA,NA,NA,0,0,NA,"TOR","Tor network"
