"","node_id","protocol","user_agent","connected_since","services","height","hostname","city","country_code","latitude","longitude","timezone","asn","organization_name"
"2306","194.180.110.10:8333","70016","/Satoshi:23.0.0/","1684328020","1032","795932","ip-194-180-110-10.vps.vpinet.cz",NA,"CZ",50.0853,14.411,"Europe/Prague","AS204860","NetX Networks a.s."
"2307","5bayfv4mmzkrzu2mr423gk4us3dq6hqvrvawj3arpajn6qtea5aey2ad.onion:8333","70016","/Satoshi:24.0.1/","1687643179","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2308","[2400:4050:84c2:f700:cad3:ffff:fea8:61ad]:8333","70016","/Satoshi:24.0.1/","1687665764","1032","795932","2400:4050:84c2:f700:cad3:ffff:fea8:61ad","Tokyo","JP",35.6837,139.6805,"Asia/Tokyo","AS4713","NTT Communications Corporation"
"2309","159.100.248.234:8333","70016","/Satoshi:0.21.1/","1687730245","1032","795932","159.100.248.234","Zurich","CH",47.3682,8.5671,"Europe/Zurich","AS61098","Akenes SA"
"2310","4dlmya65hw67u4ctb2bf5qguryucl545mywxnhrrzqufbphfajzzz3yd.onion:8333","70016","/Satoshi:23.0.0/","1687268526","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2311","qn3iozrhalvq2rwmqhtl4cmw5y3275odug3dfir65e2cufmmfz6atrad.onion:8333","70016","/Satoshi:22.0.0/","1687735841","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2312","5qqjov7w57hflil6axlksvgmzj6s5xvg4ouayhaszugldu7e62biiqad.onion:8333","70016","/Satoshi:22.0.0/","1687734433","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2313","3.69.43.168:8333","70016","/Satoshi:25.0.0/","1686730058","1097","795932","ec2-3-69-43-168.eu-central-1.compute.amazonaws.com","Frankfurt am Main","DE",50.1188,8.6843,"Europe/Berlin","AS16509","AMAZON-02"
"2314","xvbdrtvavavnpr5abjkgjc5datykofve3s62ewc3pre5jzqcsw526fyd.onion:8333","70016","/Satoshi:25.0.0/","1687719377","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2315","hdplc56cmz2lbhq7axmstispcekyyfe3qiwoezs6xnlm7avedznn2tyd.onion:8333","70016","/Satoshi:24.0.1/","1687568644","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2316","136.243.146.69:8333","70016","/Satoshi:22.0.0/","1687737250","1033","795932","nguru.net","Sindelfingen","DE",48.7117,9.0038,"Europe/Berlin","AS24940","Hetzner Online GmbH"
"2317","76.129.93.187:8333","70016","/Satoshi:23.0.0/","1687233778","1033","795932","76.129.93.187","Salt Lake City","US",40.7742,-111.8721,"America/Denver","AS7922","COMCAST-7922"
"2318","wtea6bkaaxeff4i4f2wpj5acs47smbikok5hgegkdpggzsfxdgz6ljad.onion:8333","70016","/Satoshi:24.0.1/","1687714088","1033","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
"2319","ojf3wbpjflchxv7tgjh74cz7ixqr2jf3swgs2aslnu4hvs5slx2rxayd.onion:8333","70016","/Satoshi:0.21.0/","1687120535","1037","795932",NA,NA,NA,0,0,NA,"TOR","Tor network"
